"","iso2c","value","escalado","year"
"80","Z4",3166.81030335088,-0.711674605411417,1989
"81","Z4",3294.98727522656,-0.604848315554234,1990
"82","Z4",3391.60940160556,-0.524320720556971,1991
"83","Z4",3452.91894185495,-0.473223627047504,1992
"84","Z4",3520.80558639928,-0.416644990016213,1993
"85","Z4",3615.40191150547,-0.337805754720349,1994
"86","Z4",3729.4600394359,-0.24274650611615,1995
"87","Z4",3855.22824115071,-0.137927752992275,1996
"88","Z4",3947.7396392797,-0.0608261544211526,1997
"89","Z4",3875.97106056998,-0.120640104459843,1998
"90","Z4",3949.27509672977,-0.059546461039227,1999
"91","Z4",4088.24088794633,0.0562715339991594,2000
"92","Z4",4146.97407602972,0.105221423223552,2001
"93","Z4",4253.31579503249,0.193849599813019,2002
"94","Z4",4387.47924954602,0.305665192507814,2003
"95","Z4",4569.22828220652,0.457139943082234,2004
"96","Z4",4738.70429129968,0.598386010970186,2005
"97","Z4",4951.03503854997,0.775348421763846,2006
"98","Z4",5220.46270959129,0.999897013145155,2007
"99","Z4",5339.90859126136,1.09944656710021,2008
"100","Z4",5332.56496188644,1.09332618003903,2009
"101","Z4",5669.09123357918,1.37379663052895,2010
"102","Z4",5857.62845462852,1.53092884804006,2011
"103","Z4",6069.31905558193,1.70735774292317,2012
"104","Z4",6283.70724747842,1.88603488589472,2013
"105","Z4",6464.96547246892,2.03710058356633,2014
"106","4E",330.825889993746,-1.05468369352324,1980
"107","4E",344.318441529623,-1.03909956799944,1981
"108","4E",359.354290261541,-1.02173290807808,1982
"109","4E",382.849040049561,-0.994596074183234,1983
"110","4E",413.294567076544,-0.959430974864172,1984
"111","4E",437.969999225134,-0.930930432847708,1985
"112","4E",460.869991376382,-0.904480554095711,1986
"113","4E",494.432460963037,-0.865715333333998,1987
"114","4E",534.669294315998,-0.81924110939012,1988
"115","4E",558.303444335284,-0.791943265867385,1989
"116","4E",580.670567074394,-0.766108860310689,1990
"117","4E",619.753999860416,-0.720966833554763,1991
"118","4E",678.957641522323,-0.652585624806235,1992
"119","4E",745.29351990262,-0.575966561861689,1993
"120","4E",815.937905852369,-0.494371099708732,1994
"121","4E",885.151278021878,-0.414428482706541,1995
"122","4E",952.749751626928,-0.336351100895027,1996
"123","4E",1008.26145377974,-0.272234144803457,1997
"124","4E",1019.17361322041,-0.259630415849233,1998
